complaint_what_happened,Topic_Name
"In XX/XX/2018 I had water damage to my home XXXX one year ago ). Chase holds the mortgage. The insurance company has paid out to repair the damage, but Chase refuses to release funds. I've now paid for much of my contractor, flooring, countertops, etc and Chase refuses to release funds. I'm approximately {$40000.00} out of pocket while Chase holds approximately {$150000.00} of my insurance money in escrow. 

I've uploaded every document they've asked for, many of the documents multiple times. Sometimes, like on XX/XX/XXXX, I was told a check was coming for {$75000.00}. Then an hour later someone called from Chase and said they needed one more thing XXXX a signed contractor agreement because they couldn't read the signature ). I instantly uploaded what they asked for. Today, I called them and the first person said they would be paying as they had everything they needed, but we got disconnected when I wanted to ask about timing. I called back, waited on hold, and the new person told me they needed that same document but now with two signatures. 

This same process has happened again and again, where they say money is coming XXXX and it doesn't ) and I call back and they say they need one more thing. On more than one occasion, they haven't accepted a document and I resend the exact same document which then they accept. 

I've asked at least 5 times to talk to a manager or have a supervisor call me, which they always say the manger is too busy or I'll get a call back in 24 hours, but I never get the call. I believe Chase is intentionally holding my money as long as possible and this has nothing to do with the repair process.",Mortgages
"Re : Card ending in XXXX ( Chase Sapphire Reserve ) - disputing 2 transactions from XXXX. Refunds in the amount of XXXX ( XXXX ) // XXXX ( XXXX ). 

The conversion rate used for returns is unfair, wrong, and predatory. On this date, a purchase would be converted at 1.194 -- - however, a return is receiving a completely different unfair rate of 1.121 ( 6 % worse ). 

Please see to it that I am refunded the appropriate amount with consideration to the rate that is current. The difference owed to me is over {$100.00} Spent 30 minutes on the phone with XXXX ( XXXX XXXX, TX ) - Account Supervisor XXXX/XXXX/XXXX -- -- - service representative was n't able to assist, outside of her area of competence.",Fraud Claims
"i took my parents out to dinner and to make a long story short, originally i was gon na pay by my card ... hence the swipe but i changed my mind. thats still allowed right, to change my mind right? so when the waitress came back, i had told her that i would be paying cash, where i was given both receipts and told by the waitress that the bill would be voided off at latest the following day at which point, i gave her a cash amount for the bill which was XXXX dollars and change and additional cash for her tip. at this point some days passed and i called up chase bank and filed a dispute for the amount wasnt ' voided off my debit ... at that point if you were the mediator, chase bank, it would be an easy situation to decide right? considering the XXXX by law is mandated to keep a copy of all charged receipts for a time of two years, just in case their are misunderstandings like this one. its simple, either im lying or not. if you were chase about two months later, wouldnt you of requested from XXXX a copy of my signed receipt authorizing the debit charge and if XXXX cant furnish a signed copy, then this dispute becomes easy right? what a way to treat your clients, like s.it! i have been yelled at, basically told to XXXX by chase bank. everything and anything, to tell me to buzz off and to make this complaint a wee tid more interesting, i sent via usps certafied tracking to chase hq in XXXX XXXX a copy of both unsigned receipts given to me and they still havent so much as written me a letter except when i called and got yelled at like a two year old to be told your dispute has been denied, so i go i wan na appeal, i get hung up on. its simple, excuse me XXXX in XXXX XXXX in XXXX, we want a copy of his signed authorization, oh you dont have a copy, hence two months later. 


client XXXX XXXX XXXX XXXX XXXX XXXX XXXX. # XXXX XXXX XXXX : chase bankdebit dispute for cash payment given to XXXX @ XXXX",Client Communication
"On XX/XX/2019 I received a notice from JPM Chase Bank dated XX/XX/2019 in regard to my Chase XXXX Credit Card Account. In the letter, Chase notified me that due to a recent review of my XXXX  credit report, they have opted to reduce my credit line by approximately 40 %. This change put me in a position in which my card is maxed out compared to my balance and reduced my overall available revolving credit amount, causing further damage to my credit history and score. 

I have always paid my card on time and Chase has increased my credit line twice in the past. I was shocked to receive this notice and even more surprised that Chase was completely unwilling to compromise. 

A credit card company 's solution for less than optimal credit should not be to cause further harm to a consumer 's credit history. If Chase was genuinely concerned about my XXXX XXXX, they wouldn't contribute to lowering my score. I believe this practice needs to stop and I am evoking assistance from the CFPB to assist in this unfair and predatory practice.",Credit Card
This property has sat unoccupied and with little maintenance by the Owner/Property Manager for a year. The Association has had to take over property maintenance. The Association has incurred a substantial amount of fees as the result of the lack of maintenance on this property which likely we will not recoup. Surrounding properties have filed multiple complaints with us and have concerns that the appearance of this property has detracted from the value of their property.,Mortgages
"I had a Chapter XXXX bankruptcy XXXX years ago. I received a loan modification with Chase and kept my house. They increased my mortgage to cover the payments I could n't make, so they are recouping every penny owed them. I noticed that they stopped reporting my on time payments for the last XXXX years to the Credit Bureaus. I 've made every payment since the loan modification on time and in full. They say I have to reopen my bankruptcy and reaffirm. I 've read up on this and that is not in my best interests and there is no legal basis for them requiring this of me. I wish to lodge a complaint against Chase for this. I was part of the huge lay off in XXXX XXXX and applied for over XXXX jobs and could not find anything for XXXX months. The banks caused this and now they continue to hurt us. Can something be done about this as it seems I am hardly alone in this. Thanks.",Mortgages
I received a Chase Auto Loan for a new car in 2012. I set the account up for automatic deductions from my bank account. These went like clockwork for five years. When the last payment was due Chase sent me a letter asking for a check with a specific amount that would pay off the loan. I sent them the check. When I looked at my checking account statement I saw that they processed my check and subsequently made an extra automatic deduction that they did n't deserve for a Paid-in-full loan. Apparently Chase is n't able to discern when it has been paid-in-full and will keep helping itself from your checking account until you go into Chase.com and stop them. When I tried to go into Chase.com the system would n't recognize me - probably because my loan was paid-in-full and thus my account was closed. This is the perfect feedback loop. You pay them in full but you ca n't get in to stop the payments because your account is paid in full. After about an hour I was able to get to someone with the technical ability to stop the payments. Now Chase is sitting on {$620.00} that belongs to me. I will be pleasantly surprised if I ever get it back.,Loans
"On XX/XX/XXXX I received a text alert for my Chase Freedom card in the amount of {$650.00} that I hadn't authorized or purchased. I called Chase immediately to report this as fraud ; they removed the charge. I wasn't aware what the purchase was for until 3 days later when I was looking at my XXXX  purchase history and found "" hidden '' purchases as an option ( until now I didn't even know this was an option on XXXX ). I found a "" hidden '' purchase for a XXXX/XXXX purchase for three auto air compressors that were being shipped to my home address attached to my XXXX account. The hacker had successfully used my XXXX account, but were not able to change the delivery address. Since I had already reported this to Chase and the charge had been removed from my online statement, I thought it was settled so I contacted the XXXX seller, XXXX, and explained the situation ; asking them if they could send me a shipping label to send the order back to them once it was received at my home ( I didn't want to be accepting stolen goods ). The XXXX contact admitted in their first reply to me that they had seen an increase in fraudulent orders and accommodated the shipping label request to have the items returned to them. The seller received their items back within a week of the original fraudulent order and well within their noted 30 day return policy timeframe. The following month ( XX/XX/XXXX ) I noticed that the {$680.00} was showing up again on my online activity on the Chase website. I contacted Chase again and they said they had confirmed the order had been delivered to my home so they would not agree to covering it as fraud. I explained to them that I had documentation proving I returned the items when I learned they were shipping the items to me since the hacker was not able to successfully change the shipping address attached to my XXXX account on the XXXX order. The re-opened the investigation and I sent them all the message exchanges between me and the XXXX seller, XXXX. 

I was notified XX/XX/XXXX that Chase had once again closed the investigation and refused to cover it as a fraudulent purchase. They also reported this as a dispute to the three credit agencies. I called the contact 's name listed on their letter they sent to learn why they refused this as fraud. I left a voicemail and in the meantime I contacted Chase Support via XXXX. They DM 'd me and reviewed some details, but refused to provide assistance since this had already been looked at by the investigation unit and charged back to the account by Chase. 

I contacted the XXXX  seller XX/XX/XXXX and explained the credit card company was not going to cover this fraudulent order and so I requested my funds be returned since they received the items within their XXXX  return policy. They refused to return the funds stating it's been beyond 30 days of the order and claimed they no longer have the ability. They asked if I had contacted XXXX. I told them I was going to report it to both XXXX and XXXX, but htat they should do the right thing and negotiate a refund since they got their merchandise back while they accepted stolen funds, even while admitting they had seen increased fraudulent activity. I contacted XXXX XX/XX/XXXX. XXXX refused to open an investigation because I reported the issue to Chase first and they claim once the credit card is notified, they are no longer responsible for fraudulent orders. I also called XXXX  XX/XX/XXXX and they refused to assist because 60 days had already passed and I didn't report it to them immediately ; also since XXXX was refusing to assist, they said they were no longer obligated to help. They set me up with a dual-certification sign-in option for my account to protect from future fraudulent orders on my account. XXXX  advised me to try to work with the seller directly. I have not gotten a response from the XXXX seller since XX/XX/XXXX after I sent them two messages that day via the XXXX message service. 

I received a callback from Chase XX/XX/XXXX and spoke to XXXX in Chase 's investigation unit. She said although they believed me that this was not an authorized purchase and that it was outside my normal purchase history, they were unable to find a window in their policy that would allow them to cover it as fraud because it had been delivered to my home. She advised me to try to work with the dispute department claiming they would be able to work with the XXXX seller on my behalf to recoup the funds, so she transferred me to the dispute department. At the time, I didn't realize this was just a de-escalation transfer and that dispute department would offer no assistance in all actuality. I spoke to two different people, an agent and a supervisor ( I can not recall their names, XXXX and XXXX if I had a guess ). They refused to re-open the dispute case since Chase had already investigated it and charged the {$650.00} back to the account. They said that since this was no longer charged on the account from XXXX seller and actually Chase, that this prohibited their ability to contact the seller on my behalf. They only offered me a mailing address to request an escalation of the issue to request further support. This hand-off between the investigation unit and the dispute department seems to be a shady business practice since the investigation unit should already know that the dispute department can not help a customer if the bank were the ones re-applying the charges, and not the seller/store. The right hand does not know what the left hand is doing ; or at least are willfully ignorant to their own inter-departmental policies. 

Now, I am left owing {$650.00} to Chase and they are refusing to work with the seller on my behalf to recoup the stolen funds from the XXXX seller who has accepted the stolen funds and the returned merchandise after they admitted to increased fraudulent order activity. 

I've learned a valuable lesson to not contact the credit card company first, and rather contact XXXX first and report the seller to XXXX  immediately, but my first instinct was to contact the bank once I received the transaction alert. People should be aware of this process as it seems like an easy-out for XXXX to take any responsibility from covering fraud and XXXX  to assist with poor seller business practices.",Client Communication
"I was working with consultants to help me grow my businesses. These individuals gave my business cards to other individuals who were trying to use my credit to travel and make purchases without my consent. I tried logging in to my account a couple of months ago and my personal credit card was closed. 

When I called to inquire about this, I was told that all my chase credit cards were closed, including personal and business.",Credit Card
"XX/XX/2016, hard inquiry listed on credit report without knowledge ( Chase Auto )  XX/XX/2016, hard inquiry listed on credit report without knowledge ( XXXX XXXX ) XX/XX/2016, hard inquiry listed on credit report without knowledge ( XXXX XXXX ) I checked my credit report and did not give my permission for hard inquires from any of these companies",Credit Inquiry
"Someone used my debit card to withdraw {$60.00} from my account. I repotyed this as fraud, my bank later decided this was a valid transaction made by me. It was not.",Fraud Claims
"Chase account number XXXX shows Pay Status Charged Off but still showing a balance and a past due amount. 
XXXX XXXX account number XXXX shows Pay Status was Charged Off, but still showing a balance and a past due amount. XXXX account number XXXX shows Pay Status Charged Off but also still showing a balance and a past due amount. 

How can there be a balance and a past due amount on these accounts when they were Charged Off?",Balance Transfer
"I started a XXXX campaign for a friend that was in need and enough funds were raised to help him via this site and WePay. After the funds were delivered there were several charge backs from credit cards ; I believe that once sufficient funds plus extra were raised some decided to cancel their donations. The WePay site said that I owed them money and they were going to collect by auto withdrawing from my account. This morning I was negative in my account. My bank, Chase, allowed this to happen without my permission. I called them and complained severely. Saying that only I, and the Govt. are allowed access to my funds. I need help with this, and/or report them.",Transfers
Credit card account through Chase bank ending is XXXX have charged me an annual fee of {$450.00} with a credit card limit of {$1500.00} on XX/XX/2019.  This is a violation of the CARD Act of 2009. Called and they will not remove the annual fee.,Credit Card
"Started having the Chase XXXX card since XX/XX/2017. Enjoyed the benefits but hated the service ( disorganized customer service and put under periodic review twice in 3 months ). 
I applied for another credit card ( Chase XXXX ) the end of XX/XX/XXXX, and received the card a week later. However, before I even started using the new card, Chase closed all my account without contacting me via email/phone. I have done no suspicious activity or spending, paid every bill full amount and on time. 
My problem with Chase was : why gave me another credit card when this would lead to the closing of all cards? My credit score was harmed and, more importantly, the closing of account is causing great inconvenience to my life.",Credit Card
"This situation involves a XXXX painting company what I hired last XXXX ( XXXX ) to do some interior painting in my home, and a disputed amount of {$1600.00} that they charged on my credit card without my permission, and without finishing the job. I am in a dispute with Chase, who has messaged me that they are ruling in favor of the painting company ... who in my opinion very clearly committed fraud. I agreed to have the company take a 1/3 payment for the job through my credit card. After the company worked in my home for 1-1/2 days, I let them go ( it was Chase 's suggestion that I do this, as I had a conversation with one of their representatives over the phone ) ... due to issues that were unresolved with regard to quality of work and professional behavior of painters. Unfortunately I forgot to call my credit card company to protect me, and the very next day after I let them go via email, the painting company ( XXXX XXXX XXXX ) charged my card for the full remaining 2/3 of the original job ( on XX/XX/XXXX I was charged {$1600.00} ) ... even though a large portion of the job was not complete, and I never signed off and gave them permission to charge anything. The company made NO attempt to settle this situation, and I took their action of charging my account without my permission as a clear message that they were not willing to satisfy me in any way. 

After providing Chase with multiple photos, a receipt from another independent painter that I hired to fix the poor work, and complete the work that was never done, as well as a letter from the same painter stating his view of the situation ( which Chase requested of me ), I received a letter from Chase that they were still not changing their decision to rule in favor of the painting company. 

I have no reason to lie about any of this, and I have excellent credit and no history of any other disputes ( other than a vacation package scam ). I have no criminal record, and have never been in trouble with the law. I am only guilty of being very upset over the phone when the Chase has been difficult to deal with. But being upset over the phone in no way makes me a liar, or someone who is trying to get out of paying their bills. In this case, the painting company clearly committed fraud, and Chase does not seem to care. It appears that the painting company has dealt with complaints before, and maybe has a lawyer who is threatening them. I do not know what else to assume in this situation, but I do know, and would swear in a court of law, that I am not in the wrong in this situation.",Client Communication
"On XX/XX/2019, I deposited a check in the amount of {$930.00} into my account. The next day, Chase requested more information, which I provided. On XX/XX/XXXX, I noticed a recurring charge for XXXX  was not going through. I thought this was odd since the charge was for {$2.00} and I had nearly {$400.00} in my account. I called Chase and they told me the check I deposited was being returned and they were closing my account. Furthermore, the money I already had in my account was frozen and inaccessible to me. 

Today, XX/XX/XXXX, I pulled up the account online and saw that the check was processed and shows as available in my account. I called Chase once more and they reiterated that they were closing the account and the check would be returned. 

I have received no notice of cancellation from Chase, and would not have even known had I not called them myself. I have received no explanation for the closure, and they steadfastly refuse to provide one. They continue to hold my money hostage with no explanation.",Deposits & Checks
"A more extensive description is in the attached Word document. In short Chase Bank discriminated against me, a XXXX individual, by refusing to consider the cost and added value of the conversion needed to make a regular minivan XXXX since they claimed they could not verify the value of the vehicle because it was not listed XXXX, although there are numerous other sources on the internet to determine the fair value of these vehicles. They offered me significantly less than the amount I asked for at nearly twice the interest rate even though my credit score is over XXXX and I have many accounts with them. 

I spoke to many individuals at the bank who refused to budge on this policy that would only recognize the value of the vehicle as a regular, versus XXXX vehicle. I spoke to both the underwriter and personnel at their corporate office ( see attachments XXXX. It should be noted that after a very brief discussion with XXXX XXXX XXXX XXXX, I was given a loan for the full amount requested at a lower rate than Chase 's best rate.",Loans
"There are unknown hard inquiries on my credit report. Im requested the verification of the inquiries and the method of verification. JPMCB AUTO FINANCE Inquiry : XX/XX/2019, XX/XX/XXXX Inquiry : XX/XX/2019, XXXX XXXX Inquiry : XX/XX/2019. But companies did not provide the following proof : Permissible Purpose My written authorization Proof that I personally initiated these inquiries.",Credit Inquiry
"For the 1st time in over 3 years, I have fallen on hard times in regards to making payments on my card. I have never missed a payment and this is the first time this has happened. I have literally been getting automated ( dialer ) calls 4-5 times per day including Saturdays. This is 100 % unacceptable and borderline harassment. I have been in the XXXX XXXX for over 13 years and I am a XXXX XXXX XXXX. I am currently gong through a divorce at in the process of filing for bankruptcy. I am asking at this time that all communication via telephone to CEASE until my attorney is in contact with Chase.",Payments
"This complaint is regarding a mortgage for a property I purchased in XXXX XXXX. I had several mortgage transfers during the life of the loan and all and gone smoothly until Chase Bank acquired my loan. XXXX XXXX XXXX XXXX. had owned my loan through XXXX XXXX. I had been set up with By weekly automatic payments of XXXX. The mortgage was for a property in Arizona and the statements were being mailed to my secondary address in XXXX TN as I was based in XXXX XXXX and had most of my mail transferred there for convenience. I had no delinquencies on the mortgage. Everything was automatic as far as the payments and escrow was concerned. 

My loan was transferred from XXXX XXXX XXXX to JPMorgan Chase Bank, N.A. on XXXX XXXX, XXXX unbeknownst to me and no effort was made to inform me of this transfer except by mail to the secondary address. Later, in XXXX, I was informed by XXXX, XXXX, via email, that they had taken over collections of my loan payments from Chase. This was the first I had heard that my loan was no longer with XXXX. I contacted XXXX and found out that in fact Chase had purchased my loan and had me shown as delinquent for three months. I immediately contacted Chase and asked why I had not been informed and why they had not taken reasonable effort to contact me about the loan transfer. XXXX obviously acquired my information from them and was able to contact me about my loan transfer. I was upset about the fact that Chase was unable to do the same! 

Chase reported late payments for the months of XXXX, XXXX XXXX and XXXX XXXX. They were, in fact, not received because I had no idea the loan had been transferred much less to whom. Chase had all of my contact information including email and phone number but made no attempt to reach me. XXXX did a great job informing me of the changes in my loan and therefore, I was able to bring my payments up to date as soon as the transfer happened. In light of this situation, I had contacted Chase Credit research department to investigate and to remove the report to the credit agencies as they were the ones who did not make reasonable effort to contact me about the changes to my loan. I had never been late for the term of the loan until it was purchased by Chase bank and the lack of communication by Chase was the underlying cause. I did not ask for my loan to be transferred and when a financial institution changes the terms of an individuals loan, they should make every effort to communicate those changes to the customer in order to avoid situations such as this. 

The loan was finally brought up to date with a payment draft of XXXX on XXXX/XXXX/XXXX. 

I submitted a request to investigate to Chase Bank 's Credit research dept. and they received it around XXXX XXXX, XXXX on XXXX XXXX they replied that they could not update their credit reporting on my behalf. I submitted another request in XXXX of XXXX and informed them of my intentions to file a complaint with this agency if they would not make the situation right by realizing their fault in the matter. In short, they took no action to correct the situation they they had ultimately caused. 

I had had this loan for around 15 years and had never been late! There was no way that I would have intentional let this loan payment be late because of the amount of equity I had built up in the property! ( I only owed around {$45000.00} on a house worth around {$300000.00} XXXX If I had left it up to Chase Bank, the property may have been foreclosed on without my knowing because of their inept communication practices. Again, they had my Phone number and email address ; which was used by XXXX, the organization that acquired the loan from them along with all of my information. 

I hope that Chase is called out for this poor business practice so that other customers are not in the same situation as me.",Loans
"This particular account situation that is lately filing on my own credit document has a seriously unfavorable relation to my personal ability to obtain a present loan application. I highly recommend you generate verification that JPMCB - AUTO FINANCE has been reported completely in accordance with the Fair Credit Reporting Act regulations, it's really a serious problem to mis-report. Moreconfirmation of the aforesaid item too. My proper request mustover, I was never 30 days/60 days/120 days late in any of my payments and I'm not greatly tuned in to the date opened so I prefer to ask you be investigated as soon as possible and confirmed to be correct. Thanks!",Loans
"I 'm  currently banking with chase and have been for years. I have  XXXX  checking accounts with them. This morning we I wake up to two insufficient funds fees added to my account prior to this I received no notifications stating that my account was overdrawn anything nor did I get a notification about the first insufficient funds fee added this is not the first time this has happened to me it 's been happening over the years that I 've been banking with chase but now I tired I feel that there just taking money for no apparent reason, money I do n't have to give away I have kids to feed. When I called and told them about my issue they tell me that 's there is nothing they can do, I asked even if there a mistake on the banks behave the representative says "" there nothing we can do ''.",Fees & Charges
